league_id,season,draft_id,team_count,draft_rounds,qb_start_slots,superflex_slots,te_start_slots,scoring_type,keeper_pick_count,complete_pick_board,reception_points,passing_td_points,te_premium,primary_sample,exclusion_reason
1255675954982825984,2025,1255675955003785216,12,18,1,0,1,ppr,0,True,1.0,6.0,0.0,True,eligible
1255721291416080384,2025,1255721291428675585,12,15,1,0,1,ppr,0,True,1.0,4.0,0.0,True,eligible
1255733889448546305,2025,1255733891977715712,12,17,1,1,1,2qb,0,True,0.5,4.0,1.0,False,not_1qb;non_redraft_or_idp;te_premium
1255736385877323776,2025,1255736385889910784,12,16,1,0,1,ppr,12,True,1.0,4.0,0.0,False,keeper_picks
1255768991889113088,2025,1255768991910072320,12,12,1,0,1,ppr,0,True,1.0,4.0,0.0,True,eligible
1255811685847941120,2025,1255811687534039040,12,18,1,0,1,ppr,0,True,1.0,4.0,0.0,True,eligible
1255915842093187072,2025,1255915842101579776,12,15,1,0,1,ppr,0,True,1.0,4.0,0.0,True,eligible
1256000824916590592,2025,1256000824920788992,12,18,1,1,1,2qb,0,True,1.0,6.0,0.5,False,not_1qb;non_redraft_or_idp;te_premium
1256030256599420928,2025,1256030258293907456,12,15,1,0,1,ppr,0,True,1.0,4.0,0.0,True,eligible
1256052280231211008,2025,1256052280243785728,12,17,1,1,1,2qb,0,True,1.0,6.0,0.0,False,not_1qb;non_redraft_or_idp
1256071761250762754,2025,1256071763444383745,12,22,1,1,1,dynasty_2qb,0,True,1.0,6.0,0.0,False,not_1qb;non_redraft_or_idp
1256193156089659392,2025,1256193157570252800,12,13,1,0,1,half_ppr,0,True,0.5,4.0,0.0,True,eligible
1256196478062309376,2025,1256196479576449024,12,13,1,0,1,half_ppr,0,True,0.5,4.0,0.0,True,eligible
1256270978355306496,2025,1256270979206750208,12,22,1,1,1,dynasty_2qb,0,True,1.0,4.0,0.0,False,not_1qb;non_redraft_or_idp
1256317446285959168,2025,1256317448693485568,12,23,1,0,1,dynasty_half_ppr,0,True,0.5,6.0,0.0,False,non_redraft_or_idp
1256455104937074688,2025,1256455104949661696,12,15,1,0,1,ppr,0,True,1.0,4.0,0.0,True,eligible
1256469326861443072,2025,1256469326874021888,12,15,1,0,1,half_ppr,0,True,0.5,4.0,0.0,True,eligible
1256671801790967808,2025,1256671803539984384,12,13,1,0,1,ppr,0,True,1.0,6.0,0.0,True,eligible
1256692286863986688,2025,1256692286876561408,12,15,1,0,1,ppr,0,True,1.0,4.0,0.0,True,eligible
1256695201930420224,2025,1256695201942999040,12,16,1,0,1,ppr,0,True,1.0,4.0,0.0,True,eligible
1256745446764707840,2025,1256745446768914432,12,14,1,0,1,half_ppr,0,True,0.5,4.0,0.0,True,eligible
1256750381745061888,2025,1256750383401807872,12,15,1,0,1,ppr,0,True,1.0,4.0,0.0,True,eligible
1256786732913786880,2025,1256786734222426112,12,19,1,1,1,2qb,0,True,1.0,6.0,0.5,False,not_1qb;non_redraft_or_idp;te_premium
1256849387087220736,2025,1256849390736261120,12,18,1,1,1,2qb,0,True,1.0,4.0,0.75,False,not_1qb;non_redraft_or_idp;te_premium
1256955598449160192,2025,1256955598461739008,12,16,1,1,1,2qb,0,True,1.0,5.0,0.0,False,not_1qb;non_redraft_or_idp
